Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-05,284.04998779296875,290.3999938964844,284.04998779296875,288.760009765625,24993000,0,0
2021-10-06,285.7799987792969,293.6300048828125,285.510009765625,293.1099853515625,28002600,0,0
2021-10-07,295.17999267578125,296.6400146484375,293.9200134277344,294.8500061035156,20430500,0,0
2021-10-08,296.2200012207031,296.6400146484375,293.760009765625,294.8500061035156,17680300,0,0
2021-10-11,292.9200134277344,297.9700012207031,292.75,294.2300109863281,19298600,0,0
2021-10-12,295.3399963378906,295.44000244140625,292.3500061035156,292.8800048828125,17974100,0,0
2021-10-13,294.9100036621094,297.2799987792969,293.489990234375,296.30999755859375,23416300,0,0
2021-10-14,299.2099914550781,303.2699890136719,297.8299865722656,302.75,27262900,0,0
2021-10-15,302.3399963378906,304.45001220703125,300.5199890136719,304.2099914550781,25374700,0,0
2021-10-18,303.57000732421875,308.2099914550781,302.69000244140625,307.2900085449219,22729300,0,0
2021-10-19,308.3500061035156,309.29998779296875,307.2200012207031,308.2300109863281,17682100,0,0
2021-10-20,309.2099914550781,309.70001220703125,306.1099853515625,307.4100036621094,16537100,0,0
2021-10-21,307.1700134277344,311.0199890136719,306.3599853515625,310.760009765625,16918100,0,0
2021-10-22,310.3999938964844,311.0899963378906,307.79998779296875,309.1600036621094,17449300,0,0
2021-10-25,309.3599853515625,309.3999938964844,306.4599914550781,308.1300048828125,17554500,0,0
2021-10-26,311.0,312.3999938964844,308.6000061035156,310.1099853515625,28107300,0,0
2021-10-27,316.0,326.1000061035156,316.0,323.1700134277344,52588700,0,0
2021-10-28,324.3299865722656,324.8699951171875,321.3599853515625,324.3500061035156,26297900,0,0
2021-10-29,324.1300048828125,332.0,323.8999938964844,331.6199951171875,34744900,0,0
2021-11-01,331.3599853515625,331.489990234375,326.3699951171875,329.3699951171875,27073200,0,0
2021-11-02,330.30999755859375,333.45001220703125,330.0,333.1300048828125,26487100,0,0
2021-11-03,333.8999938964844,334.8999938964844,330.6499938964844,334.0,21500100,0,0
2021-11-04,332.8900146484375,336.5400085449219,329.510009765625,336.44000244140625,23992200,0,0
